…分之… | Fraction
全面落实 | Comprehensive implementation
全面进步 | Comprehensive progress
全音符 | Whole note
全马 | Full marathon
八一 | Eight One
八七 | November 7th Movement
八万四千里 | Eight hundred forty thousand miles
八下 | Eight
八个 | Eight
八九 | Approximately nine
八九十岁 | Eighty to ninety years old
八九岁 | Eight or nine years old
八九点钟 | 8:30
八九间 | Eight or nine rooms
八亩 | Eight mu
八仙 | Eight Immortals
八仙桌 | Old fashioned square table to seat eight people
八以 | Eight
八分 | Eight parts
八分音符 | Eighth note
八十 | Eighty
八十一 | Eighty-one
八十万 | Eighty thousand
八十九 | Eighty-nine
八十五岁 | Eighty-five years old
八十八 | Eighty-eight
八十四 | Eighty-four
八十多年 | Over eighty years
八十岁 | Eighty years old
八十年代 | 1980s
八千 | Eight Thousand
八千卷 | Eight thousand volumes
八千名 | Eight thousand
八卦 | Gossip
八卷 | Eight volumes
八叉 | Eight-pronged
八叔 | Uncle
八口 | 
八句 | Eight Lines
八台 | Eight sets
八哥 | Crested myna
八国联军 | Eight-Nation Alliance
八地 | Eight regions
八大 | Eight Major
八大山人 | Ba Da Shan Ren
八大胡同 | Eight Courtyards
八天 | Eight days
八字 | Eight characters
八宝 | Eight treasures
八小时 | Eight hours
八尺 | Eight feet
八岁 | Eight years old
八年 | Eight years
八年级 | Grade Eight
八度 | Octave
八廓街 | Barkhor Street
八开 | Octavo
八张 | Eight sheets
八成 | Eighty percent
八成新 | Very good
八扇 | Eight panels
八折 | Eight discount
八拍 | Eight beats
八拍同 | Eight-beat coordination
八方 | All directions
八旗 | The "Eight Banners"
八旗子弟 | Eight Banner Descendants
八旬 | Eighty
八月 | August
八条 | Eight items
八极拳 | Eight Pole Fist
八样 | Eight kinds
八格 | Eight Squares
八点 | 8 o'clock
八百 | Eight hundred
八百里 | Eight hundred miles
八省 | Eight Provinces
八种 | Eight
八策 | The Eight Strategies
八篇 | Eight chapters
八股 | Eight-Paragraph Essay
八股文 | Eight-part essay
八莫等 | Bamo et al.
八角 | Octagonal
八角帽 | Eight-pointed hat
八角形 | Octagonal
八角街 | Eight-Corner Street
八角鼓 | Eight-Angled Drum
八记 | Eight records
八路 | Eighth Route Army
八路军 | Eighth Route Army
八路军总部 | Eighth Route Army Headquarters
八路军第一一五师 | The 115th Regiment of the Eighth Route Army
八载 | Eight years
八辈 | Eight generations
八边形 | Octagon
八达岭 | Badaling
八达岭长城 | Badaling Great Wall
八进制 | Octal
八面来风 | Wind blowing from all directions
八项 | Eight Items
八项注意 | Eight Points of Attention
公与 | With the official
公主 | Princess
公事 | Official business
公交 | Bus service
公交线路 | Bus route
公交车 | Bus
公亦 | Sir also
公亦尝 | The official also once
公仆 | Public servant
公们 | Officials
公众 | Public
公会 | Guild
公何 | What about the official?
公使 | Official envoy
公使馆 | Legation
公例 | Public law
公信力 | Credibility
公倍数 | Common multiple
公元 | AD
公元前 | B.C.
公公 | Grandfather
公共 | Public
公共事务 | Public affairs
公共利益 | Public Interest
公共卫生 | Public health
公共厕所 | Public toilet
公共场合 | Public place
公共场所 | Public place
公共安全 | Public Safety
公共建筑 | Public buildings
公共政策 | Public Policy
公共服务 | Public services
公共汽车 | Bus
公共秩序 | Public Order
公共设施 | Public facilities
公共财产 | Public property
公共资源 | Public Resources
公关 | Public relations
公函 | Official letter
公分 | Cubic Centimeter
公分母 | Public divisor
公务 | Official duty
公务人员 | Civil servants
公务员 | Civil servant
公务员法 | Civil Servant Law
公即 | Sir immediately
公卿 | Imperial ministers
公历 | Gregorian calendar
公厕 | Public toilet
公司 | Company
公司法 | Company Law
公同 | Collectively
公告 | Announcement
公告栏 | Bulletin Board
公善射 | Sir is a good archer
公器 | Official instruments
公因式 | Common factor
公园 | Park
公国 | Principality
公堤 | Public Levee
公墓 | Cemetery
公大兄 | Elder Gong Da
公威 | Gong Wei
公子 | Gentleman
公子光 | Gongzi Guang
公子纠 | Young master correcting
公孙丑 | Gongsun Chou
公孙胜 | Gong Sun Sheng
公孙衍 | Gongsun Yan
公孙贾 | Gongsun Jia
公学 | Vocational school
公安 | Public security
公安分局 | Police Precinct
公安局 | Public Security Bureau
公安机关 | Public Security Bureau
公安民警 | Police officers
公安部 | Ministry of Public Security
公安部门 | Public security department
公审 | Public Trial
公害 | Pollution
公家 | Government
公寓 | Apartment
公对 | Right
公将 | The official
公将战 | The official preparing for war
公尺 | Meter
公布 | Announce
公干 | (This term is difficult to translate directly
公平 | Fair
公平合理 | Fair and reasonable
公平性 | Equity
公平正义 | Fairness and Justice
公平秤 | Fair scale
公平竞争 | Fair Competition
公序良 | 
公开 | Public
公开信 | Open letter
公开化 | To publicize
公开场合 | Public places
公开审理 | Public trial
公开性 | Openness
公开赛 | Open tournament
公式 | Formula
公德 | Public virtue
公心 | Sincere heart
公战怯 | Fearful in public warfare
公报 | Announcement
公文 | Official documents
公斤 | Kilogram
公方代表 | Public representative
公曰 | The official said
公有 | Public
公有制 | Public ownership
公有化 | Nationalization
公权力 | Public Power
公检法 | Public security
公款 | Public money
公正 | Fair
公正司法 | Fair adjudication
公民 | Citizen
公民投票 | Referendum
公民权 | Citizenship
公民权利 | Civil rights
公民道德 | Civic morality
公河 | Gong River
公海 | high sea
公然 | Openly
公然侮辱 | Openly insulting
公爵 | Duke
公牛 | Bull
公理 | Axiom
公用 | Public use
公用事业 | Public utility
公益 | Public welfare
公益事业 | Public welfare cause
公益广告 | Public service advertisement
公益性 | Public welfare nature
公益活动 | Charity activities
公示 | Public notice
公社 | Commune
公祭 | Public Memorial
公私 | Public and private
公私合营 | State-owned and privately operated
公积金 | Provident fund
公立 | Public
公章 | Official seal
公等 | Everyone
公筷 | Communal chopsticks
公粮 | State grain
公约 | Convention
公羊 | Ram
公者 | The official
公而忘私 | Public-minded
公职 | Public office
公职人员 | Public official
公葬 | Public Funeral
公认 | Recognized
公论 | Public Opinion
公证 | Notarize
公证员 | Notary public
公证处 | Notary office
公诉人 | Prosecutor
公说公有理 | Everyone has a valid point
公费 | Public funds
公路 | Highway
公路桥 | Highway bridge
公路网 | Road network
公路运输 | Highway transportation
公车 | Public bus
公转 | Equatorial Rotation
公道 | Justice
公里 | Kilometer
公长息 | Son of a public official
公顷 | Hectare
公鸡 | Rooster
公鸭们 | Geese
六一 | June 1st
六七 | Six or Seven
六七十 | Sixty to seventy
六七十年代 | 1960s-1970s
六七百 | Approximately six hundred to seven hundred
六七里 | Liù qī lǐ
六万九千 | Six hundred and ninety thousand
六两 | Six Liang
六个 | Six
六中全会 | Sixth National Congress
六义 | Six meanings
六人 | Six people
六位 | Six-digit
六册 | Six Volumes
六分之一 | One-sixth
六十 | Sixty
六十万 | Sixty Thousand
六十三 | Sixty-three
六十五 | Sixty-five
六十六 | Sixty-six
六十多年 | Over sixty years
六十多里 | More than sixty miles
六十岁 | Sixty years old
六十年 | Sixty years
六十年代 | 1960s
六千 | Six thousand
六千余 | Six thousand plus
六千米 | Six thousand meters
六只 | Six
六号 | Six (as in Six o'Clock
六合 | Luhe
六国 | Liu Guo
六大 | Six major
六安 | Lu'an
六小时 | Six hours
六尺 | Six feet
六岁 | Six years old
六幅 | Six (pictures
六年 | Six years
六成 | Six tenths
六月 | June
六朝 | Six Dynasties
六条 | Six Lines
六栋 | Six buildings
六桥 | Six bridges
六楼 | Sixth floor
六次 | Six times
六步 | Six Steps
六段 | Six paragraphs
六法 | Six Classics
六点 | 6:00 PM
六点半 | Half past six
六点钟 | 6 o'clock
六百 | Six hundred
六百里 | Six hundred miles
六祖 | Sixth Patriarch
六种 | Six kinds
六米 | Six meters
六级 | Level 6
六经 | The Five Classics
六缸 | Six-cylinder
六艺 | Six Arts (rites
六英寸 | Six inches
六角 | Hexagon
六角形 | Hexagonal
六记 | Six records
六贤祠 | Hall of Six Worthy Sages
六边形 | Hexagon
六道菜 | Six-course Meal
六部 | Six Noble Families
六铢 | Six grains
六面 | Six sides
六项 | Six-way
六颗 | Six Pieces
六首 | Six poems
兰利 | Langley
兰它 | Lilac
兰对 | Lan Duì
兰屿 | Lan'ou Island
兰州 | Lanzhou
兰州市 | Lanzhou
兰平原 | Lanpingyuan
兰斯 | Lanshan
兰新 | Lanzhou-Xinjiang Railway
兰新铁路 | Lanxin Railway
兰波 | Lamothe
兰海兰威 | Lan Hai Lan Wei
兰皋 | Lan Gao
兰科 | Orchidaceae
兰竹图 | Bamboo Diagram
兰考 | Lankao
兰考县 | Lankao County
兰花 | Orchid blossom
兰莱 | Lan Lai
兰西 | Réunion
兰陵 | Lanling
兰青 | Lanqing
共万人 | A total of ten thousand people
共个 | (This is a colloquial term
共主 | Co-ruler
共产 | Communist
共产主义 | Communism
共产主义者 | Communist
共产党 | Communist Party
共产党人 | Communist Party member
共产党员 | Communist Party member
共产国际 | Gomban Jieguo
共享 | Share
共人 | Common people
共价键 | covalent bond
共分 | Divided into
共创 | Create together
共割 | Joint Partition
共卖 | Sell together
共同 | Common
共同之处 | Common ground
共同任务 | Common task
共同体 | Community
共同利益 | Common interests
共同努力 | Joint efforts
共同商定 | To agree together
共同奋斗 | Joint efforts
共同完成 | To complete together
共同富裕 | Common Prosperity
共同市场 | Common market
共同开发 | Joint development
共同愿望 | Common aspirations
共同提高 | Mutual improvement
共同点 | Common ground
共同爱好 | Common hobbies
共同纲领 | Common program
共同行动 | Joint action
共同语言 | Common Language
共同进步 | Mutual progress
共命运 | Shared destiny
共和 | Republic
共和党 | Republican Party
共和制 | Republic
共和国 | Republic
共和政体 | Republican
共商 | To discuss together
共商国是 | Discuss national policy together
共圆 | To realize a common goal
共域 | Regional area
共处 | Coexist
共奏 | Play together
共存 | Coexist
共存亡 | Live and die together
共层 | Common layer
共居 | Co-residence
共工 | The goddess of flood
共度 | To spend together
共建 | Joint construction
共性 | Commonality
共担 | Shared Responsibility
共振 | Resonance
共振吸收 | Resonance absorption
共支 | Parallel branch
共是 | Same
共有 | Common
共治 | Collaborative governance
共沾巾 | To wipe each other’s tears together
共照 | Jointly observe
共生 | Symbiosis
共用 | Shared
共筑 | Build together
共篇 | To share a chapter
共聚一堂 | Gather together
共色 | Shared color
共节 | Festival
共花 | Total expenditure
共荣 | Common prosperity
共襄盛举 | Participate in a grand event
共计 | Total
共设 | Gong she
共识 | Consensus
共谈 | Conversation
共谋 | Joint Effort
共赢 | Win-win
共赴国难 | To share the hardship of national crisis
共进 | Common progress
共进会 | Common Progress Association
共选自 | Collected from
共通 | Common
共长 | Together long
共需 | In total needed
共青团 | Communist Youth League
共青团员 | Young Communist League member
共首 | To share a beginning
共鸣 | Resonance
共鸣箱 | Resonance Box
关上 | Close
关东 | Gandao
关东军 | Guandong Army
关中 | Gansu Province
关中地区 | Guanzhong Region
关乎 | Relevant to
关了门 | The door is closed
关于 | About
关停 | To close down
关公 | Guan Gong
关关 | Closely
关关雎 | The sound of the nightingale
关内 | Within the capital
关切 | Concerned
关口 | Checkpoint
关向应 | Guan Xiang Ying
关在 | Guarded
关城 | Fortified City
关塞 | Border pass
关外 | Outside the pass
关天培 | Guan Tianpei
关头 | Juncture
关山 | Passes of Guan
关山月 | Guan Shan Yue
关岛 | Guam
关张 | Guan Zhang
关心 | Care about
关心体贴 | Caring and considerate
关怀 | Care
关押 | Imprison
关掉 | Turn off
关机 | Turn off
关某 | Mr. Guan
关河 | Guánhé
关注 | Pay attention to
关注点 | Focus
关照 | Care for
关爱 | Care for
关示 | Instructions from officials
关祖章 | Guan Zuchang
关税 | Tariff
关税壁垒 | tariff wall
关系 | Relationship
关系不大 | Not very important
关系密切 | Closely related
关系式 | Equation
关系法 | Relationship law
关羽 | Guan Yu
关联 | Relate
关联度 | Correlation
关联词 | Keywords
关节 | Joint
关节炎 | arthritis
关节窝 | Joint pit
关西 | Western region
关进 | Close
关锁 | Close the gate
关键 | Key
关键人物 | Key characters
关键因素 | Key factor
关键在于 | The Key Lies In
关键性 | Crucial
关键技术 | Key Technologies
关键时刻 | Crucial moment
关键时期 | Critical period
关键步骤 | Key Step
关键点 | Key point
关键环节 | Key stage
关键词 | Keywords
关门 | To close
关闭 | Close
关隘 | Passes
关雎 | Love Poem
兴业 | Promotion of Industry and Trade
兴中会 | Society for Supporting the Middle Kingdom
兴亡 | Rise and fall
兴儒会励 | Promote Confucian learning
兴军 | Military Development
兴冲冲 | Excitedly
兴凯湖 | Xingkai Lake
兴则 | As it flourishes
兴利 | Promoting profit
兴到 | Arrived
兴办 | Promote
兴化 | Xinghua
兴味 | Interest
兴味盎然 | Keen Interest
兴国 | Revive the Nation
兴复 | To restore and revive
兴奋 | Excited
兴奋不已 | Extremely excited
兴奋剂 | Stimulant
兴奋性 | Excitement
兴安 | Xing'an
兴安岭 | Xing'an Mountains
兴尽 | The decline is over
兴尽晚 | Late in the decline
兴平 | Xingping
兴庆 | Xingqing
兴建 | Construct
兴德 | To promote virtue and prosperity
兴指 | Improvised
兴旺 | Prosperous
兴旺发达 | Prosperous and thriving
兴是 | Improvised
兴江 | Xingjiang
兴盛 | To flourish
兴福寺 | Xingfu Temple
兴致 | Interest
兴致勃勃 | Enthusiastic
兴衰 | Rise and Fall
兴衰史 | Rise and Fall History
兴许 | Perhaps
兴起 | Rise
兴趣 | Interest
兴趣小组 | Xingqu Zuluo
兴趣爱好 | Hobbies
兴趣盎然 | Interest aroused
兴路路 | Xinglulu
兴边 | Border Development
兴邦 | Promote the nation
兴酣 | With enthusiasm
兴隆 | Xinglong
兴风作浪 | Stir up trouble
兴高采烈 | Elated
兵不血刃 | Victory without bloodshed
兵临 | Approaching
兵临城下 | The attacking army has reached the city gates
兵军书 | Military and army books
兵刃 | Weapon
兵力 | Military force
兵匪 | Bandit Leader
兵变 | Military uprising
兵器 | Weapon
兵团 | Large military unit
兵士 | Soldiers
兵多将广 | More troops
